lr-AdamW,step,val_loss,val_acc_top1,val_acc_top5,val_acc_mean_pos,epoch,train_loss,train_acc_top1,train_acc_top5,train_acc_mean_pos
0.0003,0,,,,,,,,,
,34,3.7976293563842773,0.3128662109375,0.5194091796875,31.210205078125,0,,,,
5.999999999999999e-06,35,,,,,,,,,
,49,,,,,1,3.7683842182159424,0.3125,0.521484375,28.2470703125
,71,3.6057803630828857,0.3650173544883728,0.5580512285232544,26.07725715637207,1,,,,
0.0003,72,,,,,,,,,
,99,,,,,2,2.1434426307678223,0.5810546875,0.7919921875,9.0830078125
,108,2.0780587196350098,0.5607638955116272,0.7892795205116272,6.704535484313965,2,,,,
5.999999999999999e-06,109,,,,,,,,,
,144,1.9707322120666504,0.5959201455116272,0.8024088740348816,6.675347328186035,3,,,,
0.0003,145,,,,,,,,,
,149,,,,,4,1.956971526145935,0.6259765625,0.8017578125,8.208984375
,179,1.3669766187667847,0.701904296875,0.88623046875,3.6072998046875,4,,,,
