lr-AdamW,step,train_loss,train_acc_top1,train_acc_top5,train_acc_mean_pos,epoch,val_loss,val_acc_top1,val_acc_top5,val_acc_mean_pos
0.0003,0,,,,,,,,,
,49,2.120760917663574,0.5703125,0.796875,8.087890625,0,,,,
,99,1.1026389598846436,0.76953125,0.9150390625,2.8154296875,0,,,,
,146,,,,,0,0.8358546495437622,0.8162434697151184,0.9498698115348816,1.9689399003982544
0.00027192549817311724,147,,,,,,,,,
,149,0.7832440733909607,0.814453125,0.95703125,1.79296875,1,,,,
,199,0.5258795022964478,0.89453125,0.9794921875,1.310546875,1,,,,
,249,0.5280522704124451,0.8857421875,0.9814453125,1.4287109375,1,,,,
,289,,,,,1,0.44655129313468933,0.9047154188156128,0.9828125238418579,1.3629742860794067
0.00019842549817311727,290,,,,,,,,,
,299,0.46478769183158875,0.8994140625,0.9814453125,1.2939453125,2,,,,
,349,0.40227651596069336,0.9208984375,0.984375,1.30078125,2,,,,
,399,0.3400595188140869,0.93359375,0.990234375,1.19140625,2,,,,
,432,,,,,2,0.35150790214538574,0.9263392686843872,0.9878069162368774,1.2504464387893677
0.00010757450182688273,433,,,,,,,,,
,449,0.32017844915390015,0.92578125,0.9853515625,1.203125,3,,,,
,499,0.27738088369369507,0.947265625,0.98828125,1.2080078125,3,,,,
,549,0.29924237728118896,0.94140625,0.990234375,1.173828125,3,,,,
,573,,,,,3,0.286684513092041,0.9391741156578064,0.9922153949737549,1.1744977235794067
3.4074501826882735e-05,574,,,,,,,,,
,599,0.25242525339126587,0.953125,0.9912109375,1.12109375,4,,,,
,649,0.28220707178115845,0.94921875,0.9921875,1.1708984375,4,,,,
,699,0.25746801495552063,0.94140625,0.994140625,1.1298828125,4,,,,
,716,,,,,4,0.26636838912963867,0.9441685080528259,0.9925781488418579,1.1516462564468384
