lr-AdamW,step,val_loss,val_acc_top1,val_acc_top5,val_acc_mean_pos,epoch,train_loss,train_acc_top1,train_acc_top5,train_acc_mean_pos
0.0003,0,,,,,,,,,
,34,3.79768967628479,0.3131103515625,0.518798828125,31.206298828125,0,,,,
5.999999999999999e-06,35,,,,,,,,,
,49,,,,,1,3.7682623863220215,0.3115234375,0.5224609375,28.21484375
,71,3.6056087017059326,0.3645833432674408,0.55859375,26.07845115661621,1,,,,
0.0003,72,,,,,,,,,
,99,,,,,2,2.1383891105651855,0.5810546875,0.7900390625,9.001953125
,108,2.070146322250366,0.5607638955116272,0.7916666865348816,6.658962726593018,2,,,,
5.999999999999999e-06,109,,,,,,,,,
,144,1.9670965671539307,0.5952690839767456,0.8028428554534912,6.66200065612793,3,,,,
0.0003,145,,,,,,,,,
,149,,,,,4,1.9556876420974731,0.6279296875,0.806640625,8.2138671875
,179,1.3625521659851074,0.7044677734375,0.885498046875,3.5845947265625,4,,,,
