Wall time,Step,Value
1684491622.4330015,260,0.42596152424812317
1684491860.1720393,505,0.5370293259620667
1684492133.5357983,753,0.6376007795333862
1684492426.6964657,1018,0.7352184057235718
1684492686.2984242,1250,0.7712823152542114
1684492971.2924871,1510,0.7974759340286255
1684493247.488142,1760,0.874291181564331
1684493524.5602021,2012,0.8496713638305664
1684493773.7124093,2237,0.8651820421218872
1684494046.361637,2479,0.8977864384651184
1684494293.8225486,2701,0.8864701986312866
1684494570.7048414,2951,0.9129914045333862
1684494851.1375837,3203,0.9024677872657776
1684495143.2434862,3467,0.9171253442764282
1684495407.463788,3713,0.9030641913414001
1684495708.7113328,3996,0.9414480924606323
1684495997.9677813,4261,0.94384765625
1684496300.1460502,4540,0.9397503137588501
1684496583.9616177,4803,0.8779597282409668
1684496875.675302,5074,0.9469304084777832
1684497150.6980917,5327,0.9751209020614624
1684497416.7910554,5573,0.9478419423103333
1684497808.0064106,5935,0.965733528137207
1684498095.922627,6196,0.9376502633094788
1684498361.9712727,6441,0.9451524019241333
1684498634.2683847,6689,0.8921843767166138
1684498924.6047132,6954,0.9605971574783325
1684499180.2868419,7186,0.962284505367279
1684499465.7701695,7446,0.9631310105323792
1684499739.868736,7696,0.9650957584381104
1684500017.7803872,7948,0.961836576461792
1684500265.6142483,8173,0.9810093641281128
1684500534.3250048,8415,0.9732258915901184
1684500780.2950919,8637,0.9226030111312866
1684501054.6316674,8887,0.9802954792976379
1684501329.4455655,9139,0.9482731819152832
1684501619.0877435,9403,0.965272843837738
1684501891.3913016,9649,0.957959771156311
1684502198.4530032,9932,0.9728794693946838
1684502491.8195133,10197,0.9772875308990479
1684502794.4020178,10476,0.9690330624580383
1684503079.6694276,10739,0.956250011920929
1684503375.5995176,11010,0.9667239785194397
1684503649.1958745,11263,0.9559462070465088
1684503914.9280097,11509,0.9726882576942444
1684504302.8644073,11871,0.9773762822151184
1684504590.1137915,12132,0.9751952886581421
1684504857.3037522,12377,0.9313204288482666
1684505133.3880918,12625,0.9700415730476379
1684505425.552774,12890,0.9244495630264282
1684505680.0472493,13122,0.9621161222457886
1684505963.6969802,13382,0.9634615182876587
1684506235.9706595,13632,0.9718686938285828
1684506510.867384,13884,0.9876301884651184
1684506759.759409,14109,0.947998046875
1684507027.8020089,14351,0.9397786259651184
1684507272.5364106,14573,0.9712180495262146
1684507547.0530183,14823,0.9738848209381104
1684507824.4637356,15075,0.979569673538208
1684508109.7397957,15339,0.94970703125
1684508375.3116145,15585,0.9712154269218445
1684508680.449088,15868,0.9781947731971741
1684508975.008875,16133,0.9766512513160706
1684509278.687346,16412,0.9243093132972717
1684509562.9325721,16675,0.960156261920929
1684509858.5151796,16946,0.96385258436203
1684510132.251346,17199,0.9377325177192688
1684510399.9478872,17445,0.9536693096160889
1684510788.6168485,17807,0.9670789837837219
1684511076.4788852,18068,0.9637019038200378
1684511345.6061459,18313,0.9870965480804443
1684511618.9515817,18561,0.9494077563285828
1684511911.0537221,18826,0.9565873742103577
1684512167.962412,19058,0.9481411576271057
1684512454.7816818,19318,0.9708232879638672
1684512732.928664,19568,0.9752079248428345
1684513009.215367,19820,0.9755394458770752
1684513254.2721217,20045,0.9287806749343872
1684513516.7291453,20287,0.9543131589889526
1684513763.2766216,20509,0.9682883620262146
1684514037.1440978,20759,0.9806262850761414
1684514310.7401826,21011,0.9772600531578064
1684514594.1697433,21275,0.9474135637283325
1684514858.0358922,21521,0.9876568913459778
1684515158.7307858,21804,0.9828683137893677
1684515452.0774088,22069,0.9483161568641663
1684515762.2189739,22348,0.9798460006713867
1684516051.927363,22611,0.9684044718742371
1684516349.7772288,22882,0.9598588943481445
1684516626.62397,23135,0.95346599817276
1684516897.0086482,23381,0.9697585701942444
1684517288.1158934,23743,0.9723090529441833
1684517577.3275528,24004,0.9386418461799622
1684517847.0956073,24249,0.9705910682678223
1684518122.0099258,24497,0.9762159585952759
1684518413.021117,24762,0.9708214998245239
1684518671.4868946,24994,0.9743399620056152
1684518957.2608206,25254,0.9825270175933838
1684519236.5907571,25504,0.9659935832023621
1684519515.0452611,25756,0.9777560830116272
1684519764.0975158,25981,0.9895542860031128
1684520035.8615427,26223,0.9652343988418579
1684520281.408701,26445,0.9371803998947144
1684520559.0810452,26695,0.9394846558570862
1684520841.792118,26947,0.9878472089767456
1684521138.2065692,27211,0.9505652189254761
1684521413.0332382,27457,0.9630987644195557
1684521722.0184789,27740,0.9794782400131226
1684522018.2332058,28005,0.9679954051971436
1684522330.735537,28284,0.958347499370575
1684522622.3271341,28547,0.9547926783561707
1684522924.8533125,28818,0.980104386806488
1684523206.4760654,29071,0.9725477695465088
1684523481.459389,29317,0.9516681432723999
1684523874.4775186,29679,0.9415690302848816
1684524163.763521,29940,0.9799429178237915
1684524435.1469111,30185,0.9726722836494446
1684524714.378201,30433,0.9707188606262207
1684525009.9202576,30698,0.9646217823028564
1684525269.955315,30930,0.9596073627471924
1684525558.5532355,31190,0.9585186243057251
1684525836.3489032,31440,0.9674584269523621
1684526117.8600223,31692,0.9606119990348816
1684526373.6708572,31917,0.9210379719734192
1684526646.8611982,32159,0.9503255486488342
1684526895.8089173,32381,0.925994336605072
1684527179.078296,32631,0.9301442503929138
1684527463.052071,32883,0.9610459804534912
1684527758.6793654,33147,0.9786487817764282
1684528036.6113777,33393,0.9627145528793335
1684528351.119709,33676,0.9547154307365417
1684528655.0662487,33941,0.9645478129386902
1684528967.3091693,34220,0.9790393114089966
1684529257.9261403,34483,0.9887770414352417
1684529562.7523549,34754,0.9535768628120422
1684529843.204281,35007,0.9471726417541504
1684530118.3162332,35253,0.9630666971206665
1684530514.8924508,35615,0.9542100429534912
1684530804.6461427,35876,0.9317758679389954
1684531073.4674084,36121,0.9700627326965332
