lr-AdamW,step,train_loss,train_acc_top1,train_acc_top5,train_acc_mean_pos,epoch
0.0003,0,,,,,
,49,2.2688660621643066,0.5439453125,0.763671875,7.28515625,0
,99,1.2374746799468994,0.7373046875,0.9091796875,3.0732421875,0
,149,0.8742170929908752,0.822265625,0.947265625,2.2158203125,0
