lr-AdamW,step,train_loss,train_acc_top1,train_acc_top5,train_acc_mean_pos,epoch,val_loss,val_acc_top1,val_acc_top5,val_acc_mean_pos
0.0003,0,,,,,,,,,
,49,2.6053318977355957,0.5078125,0.73046875,11.65625,0,,,,
,99,1.9032835960388184,0.6083984375,0.7958984375,6.185546875,0,,,,
,149,1.4554977416992188,0.6796875,0.8603515625,4.505859375,0,,,,
,199,1.1105625629425049,0.7470703125,0.9111328125,3.1181640625,0,,,,
,249,1.226301670074463,0.716796875,0.865234375,4.2509765625,0,,,,
,299,1.3923900127410889,0.7197265625,0.8251953125,9.0302734375,0,,,,
,349,1.037625789642334,0.7783203125,0.9248046875,2.2822265625,0,,,,
,399,0.7596893310546875,0.8173828125,0.9521484375,2.275390625,0,,,,
,449,0.8711931705474854,0.810546875,0.9365234375,2.0751953125,0,,,,
,454,,,,,0,1.0119680166244507,0.7975682616233826,0.9209842681884766,4.4364094734191895
