lr-AdamW,step,train_loss,train_acc_top1,train_acc_top5,train_acc_mean_pos,epoch,val_loss,val_acc_top1,val_acc_top5,val_acc_mean_pos
0.0003,0,,,,,,,,,
,49,2.6152801513671875,0.5087890625,0.7236328125,11.7353515625,0,,,,
,99,1.9026403427124023,0.615234375,0.7998046875,6.2216796875,0,,,,
,149,1.4523179531097412,0.6787109375,0.8671875,4.3330078125,0,,,,
,199,1.113335132598877,0.7451171875,0.912109375,3.064453125,0,,,,
,249,1.225917100906372,0.720703125,0.869140625,4.2998046875,0,,,,
,299,1.3940428495407104,0.7177734375,0.8271484375,8.958984375,0,,,,
,349,1.0439565181732178,0.77734375,0.923828125,2.3642578125,0,,,,
,399,0.7624319791793823,0.8232421875,0.9501953125,2.2626953125,0,,,,
,449,0.871551513671875,0.8154296875,0.9375,2.078125,0,,,,
,454,,,,,0,1.0074777603149414,0.7982722520828247,0.920849084854126,4.449581623077393
