lr-AdamW,step,train_loss,train_acc_top1,train_acc_top5,train_acc_mean_pos,epoch,val_loss,val_acc_top1,val_acc_top5,val_acc_mean_pos
0.0003,0,,,,,,,,,
,49,2.763169288635254,0.462890625,0.681640625,14.1396484375,0,,,,
,72,,,,,0,1.9836934804916382,0.5775282382965088,0.8104383945465088,6.207573890686035
0.00027192549817311724,73,,,,,,,,,
,99,1.3732495307922363,0.712890625,0.884765625,3.33984375,1,,,,
,145,,,,,1,1.1119942665100098,0.7766926884651184,0.9305555820465088,2.3753254413604736
0.00019842549817311727,146,,,,,,,,,
,149,1.0223296880722046,0.75,0.9130859375,2.271484375,2,,,,
,199,0.7536333203315735,0.837890625,0.955078125,1.791015625,2,,,,
,218,,,,,2,0.7078197002410889,0.8458659052848816,0.9626736044883728,1.6575521230697632
0.00010757450182688273,219,,,,,,,,,
,249,0.5643798112869263,0.8642578125,0.9736328125,1.423828125,3,,,,
,291,,,,,3,0.5716105699539185,0.8796115517616272,0.9730902910232544,1.4840494394302368
3.4074501826882735e-05,292,,,,,,,,,
,299,0.5387316346168518,0.88671875,0.9765625,1.4013671875,4,,,,
,349,0.5913640260696411,0.8818359375,0.9677734375,1.6533203125,4,,,,
,364,,,,,4,0.5192911028862,0.8916015625,0.9788954257965088,1.42138671875
