lr-AdamW,step,val_loss,val_acc_top1,val_acc_top5,val_acc_mean_pos,epoch,train_loss,train_acc_top1,train_acc_top5,train_acc_mean_pos
0.0003,0,,,,,,,,,
,43,3.0766806602478027,0.4376331567764282,0.6324573755264282,22.189607620239258,0,,,,
5.999999999999999e-06,44,,,,,,,,,
,49,,,,,1,2.988981246948242,0.4287109375,0.6484375,17.8095703125
,89,3.0221941471099854,0.43021824955940247,0.6346806883811951,20.26267433166504,1,,,,
0.0003,90,,,,,,,,,
,99,,,,,2,2.521451711654663,0.5107421875,0.7275390625,9.88671875
,136,2.1091549396514893,0.5827376842498779,0.7904338240623474,8.149040222167969,2,,,,
5.999999999999999e-06,137,,,,,,,,,
,149,,,,,3,2.1585941314697266,0.5869140625,0.7783203125,7.59375
,181,1.961966633796692,0.6029297113418579,0.7926649451255798,10.075151443481445,3,,,,
0.0003,182,,,,,,,,,
,199,,,,,4,1.699196219444275,0.6240234375,0.8271484375,5.6298828125
,225,1.5642039775848389,0.6752485632896423,0.8528719544410706,6.748734951019287,4,,,,
